_id,selcode,card.description,card.model,card.image,technical.category,technical.location,technical.maker.web,technical.instructions,finance.purchase.date,finance.purchase.location,finance.purchase.amount,finance.purchase.invoice,finance.purchase.note,finance.disposal.date,finance.disposal.amount,finance.disposal.note,status,admin.creation.date,admin.update.date,technical.maker.name,technical.model_number,technical.serial_number,admin.update.user
6796aaf019005d0f46e68aa5,0097,Samsung Galaxy Ace3 Smart Phone,Galaxy Ace3,0097 Samsung Galaxy Ace3 GT-S7275R.jpg,Electronic,Disposed,https://www.samsung.com/nz/home,0097 Samsung Galaxy Ace3 GT-S7275R.pdf,2014-03-04T11:00:00.000Z,Telecom Queensgate,299,0097 Samsung Galaxy Ace3 GT-S7275R.pdf,Two years warranty ends on 03 May 2016,1900-12-31T12:30:00.000Z,0,,Inactive,1900-12-31T12:30:00.000Z,1900-12-31T12:30:00.000Z,Samsung,3.5903E+14,,
6796aaf019005d0f46e68aa8,0116,Docking Station,Surface Dck,0116 Surface Pro Docking Stattion.jpg,Electronic,Fionas Office,https://www.microsoft.com/en-nz/windows/featured-devices/surface-pro-4,0000 No Instructions.pdf,2017-11-30T11:00:00.000Z,Warehouse Stationery - Petone,299,0116 MS Surface Pro4 Dock Station.pdf,1 Years Warranty,1900-12-31T12:30:00.000Z,0,,Active,1900-12-31T12:30:00.000Z,1900-12-31T12:30:00.000Z,Microsoft,1661,,
6796aaf019005d0f46e68aa9,0117,Type Cover,Surface Surface Pro4,0117 Surface Pro4 Cover.jpg,Electronic,Fionas Office,https://www.microsoft.com/en-nz/windows/featured-devices/surface-pro-4,0000 No Instructions.pdf,2017-11-30T11:00:00.000Z,Noel Leeming - Lower Hutt,239.99,0117 MS Surface Pro4 Cover.pdf,1 Years Warranty,1900-12-31T12:30:00.000Z,0,,Active,1900-12-31T12:30:00.000Z,1900-12-31T12:30:00.000Z,Microsoft,1725,68148162254,
6796aaf019005d0f46e68aac,0129,Kenwood Mincer Attachment,AT950A,0129 Kenwood Mincer Attachment.jpg,Appliance,Kitchen-Dining,https://http://www.kenwoodworld.com/en-nz,0129 Kenwood Mincer.pdf,2018-04-27T12:00:00.000Z,Briscoes Online,130.99,0129 Mincer Attachment.pdf,,1900-12-31T12:30:00.000Z,0,,Active,1900-12-31T12:30:00.000Z,2021-09-22T12:00:00.000Z,Kenwood,KAX950ME,,karol_wojasz
6796aaf019005d0f46e68aae,0139,Phone Samsung Galaxy A50 2019,Galaxy A50 2019,0139 Samsung Galaxy A50.jpg,Electronic,Disposed,https://www.samsung.com/nz/home,0000 No Instructions.pdf,2019-12-17T11:00:00.000Z,Noel Leeming - Lower Hutt,439,0139 Samsung Galaxy A50 eReceipt.pdf,Black ROM: 64GB RAM: 4GB 2 Years Warranty till 18 Dec 2021,2022-03-19T11:00:00.000Z,0,Damaged screen - back pocket,Inactive,1900-12-31T12:30:00.000Z,2022-03-29T11:00:00.000Z,Samsung,SM-A505GN,354467/10/245740/8,karol_wojasz
6796aaf019005d0f46e68ab2,0144,Computer Screen,PRO MP242P,0144 MSI Pro MP242P Monitor.jpg,Electronic,Fionas Office,https://au.msi.com/,0000 No Instructions.pdf,2022-01-16T11:00:00.000Z,PB Tech Petone,366.85,0144 MSI Pro MP242P Monitor.pdf,1 Year Warranty,1900-12-31T12:30:00.000Z,0,,Active,2022-01-18T11:00:00.000Z,1900-12-31T12:30:00.000Z,MSI,3PA1,PA1T151900948,
6796aaf019005d0f46e68ab8,0155,Toaster ,Arise 4 Slice,0155 Toaster TAM5003SS.jpeg,Appliance,Kitchen-Dining,https://www.sunbeam.co.nz/kitchen-and-home/kettles-and-toasters,0155 Toaster TAM5003SS Manual.pdf,2024-04-11T12:00:00.000Z,Farmers Lower Hutt,134.99,0155 Toaster TAM5003SS.pdf,1 Years Replacement Warranty ,1900-12-31T12:30:00.000Z,0,,Active,2024-04-13T12:00:00.000Z,2024-04-13T12:00:00.000Z,Sunbeam,TAM5003SS,ULL-102700EP,karol_wojasz
6796aaf019005d0f46e68ab9,0158,Earbuds,WF-1000XM5,0158 Sony WF-1000XM5.jpg,Electronic,Karols Office,https://store.sony.co.nz/,0158 Sony WF-1000XM5 Manual.pdf,2024-09-10T12:00:00.000Z,PBTech Petone,358.61,0158 Sony WF-1000XM5.pdf,1 Years Replacement Warranty ,1900-12-31T12:30:00.000Z,0,,Active,2024-09-10T12:00:00.000Z,2024-09-13T12:00:00.000Z,Sony,P-92484710-H,S01-1869344-L,karol_wojasz
6796aaf019005d0f46e68aba,0005,2 Slice Toaster,,0005 Toaster.jpg,Appliance,Disposed,https://www.kenwoodworld.com/en-nz/,0000 No Instructions.pdf,2005-05-13T12:00:00.000Z,Briscoes,39.95,0000 Missing Invoice.pdf,One Year Guarantee,1900-12-31T12:30:00.000Z,0,,Inactive,1900-12-31T12:30:00.000Z,1900-12-31T12:30:00.000Z,Kenwood,TT225,,
6796aaf019005d0f46e68abe,0019,Saw,,AssetImageMissing.jpg,Tools,Workshop,No URL,0000 No Instructions.pdf,1994-06-29T12:00:00.000Z,Mitre-10 Wainuiomata,120,0000 Missing Invoice.pdf,,1900-12-31T12:30:00.000Z,0,,Active,1900-12-31T12:30:00.000Z,1900-12-31T12:30:00.000Z,Black&Decker,7308-46,,
6796aaf019005d0f46e68ac1,0032,Radio Control Car,,AssetImageMissing.jpg,Electronic,Fionas Office,No URL,0000 No Instructions.pdf,1996-06-29T12:00:00.000Z,Toy World,100,0000 Missing Invoice.pdf,Red,1900-12-31T12:30:00.000Z,0,,Active,1900-12-31T12:30:00.000Z,1900-12-31T12:30:00.000Z,Nikko,20760,,
6796aaf019005d0f46e68ac4,0041,Induction Cooktop,,0041 Electrolux Induction Cooktop EHD6685P.jpg,Appliance,Kitchen-Dining,https://www.electrolux.co.nz/,0041 Electrolux Induction Cooktop EHD6685P.pdf,2008-01-19T11:00:00.000Z,Harvey Norman Lower Hutt,2499.99,0042 Electrolux Oven EOEE63AS.pdf,,1900-12-31T12:30:00.000Z,0,,Active,1900-12-31T12:30:00.000Z,1900-12-31T12:30:00.000Z,Electrolux,EHD6685P,,
6796aaf019005d0f46e68ac5,0055,Nikkor Lens 18-55mm,18-55 VR Zoom,0055 Nikkor Lens 18-55mm.jpg,Electronic,Cork Room,https://www.nikon.co.nz/en_NZ,0000 No Instructions.pdf,2010-07-23T12:00:00.000Z,Harvey Norman Lower Hutt,0,0053 Nikon_D3000.pdf,Part of Nikon D3000 Pakage,1900-12-31T12:30:00.000Z,0,,Active,1900-12-31T12:30:00.000Z,1900-12-31T12:30:00.000Z,Nikon,,14070453,
6796aaf019005d0f46e68ac9,0072,Black and Decker Mitre Saw 254 mm,SMS500 - XE,0072 Mitre Saw SMS500-XE.jpg,Tools,Workshop,https://www.blackanddecker.co.nz/,0072 Black and Decker Mitre Saw.pdf,2013-03-16T11:00:00.000Z,Petone Mega 10,299,0072 Mitre Saw SMS500 - XE.pdf,Two year warranty ends on 17 Mar 2015,1900-12-31T12:30:00.000Z,0,,Active,1900-12-31T12:30:00.000Z,1900-12-31T12:30:00.000Z,Black and Decker,,,
6796aaf019005d0f46e68aca,0073,Mitre Saw Stand,SKU 184437,0073 Mitre Saw Warrir Stand.jpg,Tools,Workshop,https://www.warrior-tools.com/,0073 Mitre Saw Warrior Stand.pdf,2013-03-16T11:00:00.000Z,Petone Mega 10,149,0073 Mitre Saw Stand.pdf,,1900-12-31T12:30:00.000Z,0,,Active,1900-12-31T12:30:00.000Z,1900-12-31T12:30:00.000Z,Warrior,,,
6796aaf019005d0f46e68ad7,0124,Cordless Kettle - Soft Top Pure,BKE700BSS,0124_Kettle_BKE700BSS.jpg,Appliance,Kitchen-Dining,https://www.sunbeam.com.au/,0124_Kettle_BKE700BSS.pdf,2017-12-06T11:00:00.000Z,Briscoes,101.99,0124 Breville Kettle.pdf,12 Month Full Replacement Guarantee,1900-12-31T12:30:00.000Z,0,,Active,1900-12-31T12:30:00.000Z,1900-12-31T12:30:00.000Z,Breville,,,
6796aaf019005d0f46e68ad9,0132,Garden Table - Rectangular 760 x 1000 x 1800 Teak,Milano (recycled Teak),0132 Garden Table.jpg,Furniture,Garden,https://www.mitre10.co.nz/,0132 Garden Table.pdf,2018-10-21T11:00:00.000Z,Mitre 10 Mega Petone,1099,0132 Garden Table.pdf,3 Years Warranty till 22 Oct 2021,1900-12-31T12:30:00.000Z,0,,Active,1900-12-31T12:30:00.000Z,2021-09-22T12:00:00.000Z,Nouvea,,,karol_wojasz
6796aaf019005d0f46e68ae0,0014,Infrared Security Light,,AssetImageMissing.jpg,Other,Hall,No URL,0000 No Instructions.pdf,1994-05-30T12:00:00.000Z,,75,0000 Missing Invoice.pdf,,1900-12-31T12:30:00.000Z,0,,Active,1900-12-31T12:30:00.000Z,1900-12-31T12:30:00.000Z,,,,
